"time","Q_m3pd"
2016-05-28,35546.9038760913
2016-05-29,152747.509244843
2016-05-30,138308.63967139
2016-05-31,96816.0477699733
2016-06-01,67771.2334389813
2016-06-02,132630.904568478
2016-06-03,104086.849997935
2016-06-04,297014.941398554
2016-06-05,231743.279778988
2016-06-06,162220.295845292
2016-06-07,113554.207091704
2016-06-08,79487.9449641929
2016-06-09,55641.561474935
2016-06-10,38949.0930324545
2016-06-11,27264.3651227182
2016-06-12,19085.0555859027
2016-06-13,13359.5389101319
2016-06-14,9351.67723709233
2016-06-15,531220.43610678
2016-06-16,594914.493274746
2016-06-17,474521.818092322
2016-06-18,332165.272664626
2016-06-19,232515.690865238
2016-06-20,162760.983605667
2016-06-21,139066.886818547
2016-06-22,103170.732772983
2016-06-23,822177.573622088
2016-06-24,726548.309535462
2016-06-25,508583.816674823
2016-06-26,356008.671672376
2016-06-27,367773.686754582
2016-06-28,257441.580728208
2016-06-29,180209.106509745
2016-06-30,126146.374556822
2016-07-01,88302.4621897752
2016-07-02,315500.493606751
2016-07-03,282483.024724726
2016-07-04,512979.010107308
2016-07-05,395366.263075116
2016-07-06,276756.384152581
2016-07-07,218856.515022571
2016-07-08,255590.9069158
2016-07-09,178913.63484106
2016-07-10,125239.544388742
2016-07-11,87667.6810721193
2016-07-12,296476.505378423
2016-07-13,216290.124164896
2016-07-14,159398.026915427
2016-07-15,111578.618840799
2016-07-16,78105.0331885594
2016-07-17,54673.5232319916
2016-07-18,38271.4662623941
2016-07-19,26790.0263836759
2016-07-20,18753.0184685731
2016-07-21,13127.1129280012
2016-07-22,12331.6911870105
2016-07-23,8632.18383090738
2016-07-24,6042.52868163517
2016-07-25,89812.7753815871
2016-07-26,90277.285967111
2016-07-27,268730.251376978
2016-07-28,601845.915963884
2016-07-29,511343.222774719
2016-07-30,357940.255942303
2016-07-31,510294.627241425
2016-08-01,401568.758268998
2016-08-02,486236.577988298
2016-08-03,721320.273391809
2016-08-04,690526.110574266
2016-08-05,700506.489401987
2016-08-06,505226.492981391
2016-08-07,387708.000286973
2016-08-08,371393.640200881
2016-08-09,388490.599340617
2016-08-10,271943.419538432
2016-08-11,190360.393676902
2016-08-12,133252.275573832
2016-08-13,101503.814338422
2016-08-14,107400.636436895
2016-08-15,325516.045505827
2016-08-16,238436.889454079
2016-08-17,176122.204217855
2016-08-18,127070.813352499
2016-08-19,134979.721346749
2016-08-20,167951.540142724
2016-08-21,160721.320499907
2016-08-22,112504.924349935
